"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: size"
"kotlin_benchmarks.array.fill.Inline128int.Ref_to_Ref_as_Ref_fillstat","avgt",1,15,259.723814,52.938548,"ns/op",100
"kotlin_benchmarks.array.fill.Inline128int.Ref_to_Ref_as_Ref_fillstat","avgt",1,15,25421836.039196,16578720.265961,"ns/op",1000000
"kotlin_benchmarks.array.fill.Inline128int.Ref_to_Val_as_Val_arrayfillinst","avgt",1,15,259.596778,63.798932,"ns/op",100
"kotlin_benchmarks.array.fill.Inline128int.Ref_to_Val_as_Val_arrayfillinst","avgt",1,15,22496113.838533,13468495.232554,"ns/op",1000000
"kotlin_benchmarks.array.fill.Inline128int.Ref_to_Val_as_Val_arrayfillstat","avgt",1,15,283.227522,76.314221,"ns/op",100
"kotlin_benchmarks.array.fill.Inline128int.Ref_to_Val_as_Val_arrayfillstat","avgt",1,15,29120101.495243,12668363.224950,"ns/op",1000000
"kotlin_benchmarks.array.fill.Inline128int.Ref_to_Val_as_Val_fillinst","avgt",1,15,279.813814,50.840688,"ns/op",100
"kotlin_benchmarks.array.fill.Inline128int.Ref_to_Val_as_Val_fillinst","avgt",1,15,25145999.780911,12069910.590253,"ns/op",1000000
"kotlin_benchmarks.array.fill.Inline128int.Ref_to_Val_as_Val_fillstat","avgt",1,15,270.872937,57.721985,"ns/op",100
"kotlin_benchmarks.array.fill.Inline128int.Ref_to_Val_as_Val_fillstat","avgt",1,15,25605753.234258,20438084.143163,"ns/op",1000000
"kotlin_benchmarks.array.fill.Inline128int.Val_to_Ref_as_Ref_arrayfillinst","avgt",1,15,262.478496,44.884774,"ns/op",100
"kotlin_benchmarks.array.fill.Inline128int.Val_to_Ref_as_Ref_arrayfillinst","avgt",1,15,42551552.334162,17107968.399552,"ns/op",1000000
"kotlin_benchmarks.array.fill.Inline128int.Val_to_Ref_as_Ref_arrayfillstat","avgt",1,15,300.836092,42.231783,"ns/op",100
"kotlin_benchmarks.array.fill.Inline128int.Val_to_Ref_as_Ref_arrayfillstat","avgt",1,15,24623536.371386,19114514.011199,"ns/op",1000000
"kotlin_benchmarks.array.fill.Inline128int.Val_to_Ref_as_Ref_fillinst","avgt",1,15,345.828917,34.191766,"ns/op",100
"kotlin_benchmarks.array.fill.Inline128int.Val_to_Ref_as_Ref_fillinst","avgt",1,15,19820674.294310,15831163.292522,"ns/op",1000000
"kotlin_benchmarks.array.fill.Inline128int.Val_to_Ref_as_Ref_fillstat","avgt",1,15,280.713696,49.331277,"ns/op",100
"kotlin_benchmarks.array.fill.Inline128int.Val_to_Ref_as_Ref_fillstat","avgt",1,15,24616661.476810,13082280.469484,"ns/op",1000000
"kotlin_benchmarks.array.fill.Inline128int.Val_to_Val_as_Val_arrayfillinst","avgt",1,15,256.845420,37.481111,"ns/op",100
"kotlin_benchmarks.array.fill.Inline128int.Val_to_Val_as_Val_arrayfillinst","avgt",1,15,24504948.270652,15064815.061334,"ns/op",1000000
"kotlin_benchmarks.array.fill.Inline128int.Val_to_Val_as_Val_arrayfillstat","avgt",1,15,233.114242,63.138570,"ns/op",100
"kotlin_benchmarks.array.fill.Inline128int.Val_to_Val_as_Val_arrayfillstat","avgt",1,15,22137782.271524,13601078.847818,"ns/op",1000000
"kotlin_benchmarks.array.fill.Inline128int.Val_to_Val_as_Val_fillinst","avgt",1,15,267.871537,55.618294,"ns/op",100
"kotlin_benchmarks.array.fill.Inline128int.Val_to_Val_as_Val_fillinst","avgt",1,15,23215886.838326,9873804.391524,"ns/op",1000000
"kotlin_benchmarks.array.fill.Inline128int.Val_to_Val_as_Val_fillstat","avgt",1,15,257.795312,58.628336,"ns/op",100
"kotlin_benchmarks.array.fill.Inline128int.Val_to_Val_as_Val_fillstat","avgt",1,15,23649919.886398,9814118.008434,"ns/op",1000000
"kotlin_benchmarks.array.fill.Inline32int.Def_to_Ref_as_Ref_arrayfill","avgt",1,15,205.306394,33.644782,"ns/op",100
"kotlin_benchmarks.array.fill.Inline32int.Def_to_Ref_as_Ref_arrayfill","avgt",1,15,15893850.332071,10803700.236619,"ns/op",1000000
"kotlin_benchmarks.array.fill.Inline32int.Def_to_Ref_as_Ref_fill","avgt",1,15,162.604448,31.054597,"ns/op",100
"kotlin_benchmarks.array.fill.Inline32int.Def_to_Ref_as_Ref_fill","avgt",1,15,14470046.716547,12169492.792221,"ns/op",1000000
"kotlin_benchmarks.array.fill.Inline32int.Def_to_Val_as_Val_arrayfill","avgt",1,15,170.668428,47.208738,"ns/op",100
"kotlin_benchmarks.array.fill.Inline32int.Def_to_Val_as_Val_arrayfill","avgt",1,15,9668117.877762,13664068.287698,"ns/op",1000000
"kotlin_benchmarks.array.fill.Inline32int.Def_to_Val_as_Val_fill","avgt",1,15,162.303174,29.973067,"ns/op",100
"kotlin_benchmarks.array.fill.Inline32int.Def_to_Val_as_Val_fill","avgt",1,15,24133772.127124,9898907.368149,"ns/op",1000000
"kotlin_benchmarks.array.fill.Inline32int.New_to_Ref_as_Ref_arrayfill","avgt",1,15,220.085607,58.136213,"ns/op",100
"kotlin_benchmarks.array.fill.Inline32int.New_to_Ref_as_Ref_arrayfill","avgt",1,15,28130074.879305,14518900.248889,"ns/op",1000000
"kotlin_benchmarks.array.fill.Inline32int.New_to_Ref_as_Ref_fill","avgt",1,15,681.625084,236.919347,"ns/op",100
"kotlin_benchmarks.array.fill.Inline32int.New_to_Ref_as_Ref_fill","avgt",1,15,4847954.777943,1708041.132184,"ns/op",1000000
"kotlin_benchmarks.array.fill.Inline32int.New_to_Val_as_Val_arrayfill","avgt",1,15,228.089195,51.908760,"ns/op",100
"kotlin_benchmarks.array.fill.Inline32int.New_to_Val_as_Val_arrayfill","avgt",1,15,34787943.330408,10254248.378227,"ns/op",1000000
"kotlin_benchmarks.array.fill.Inline32int.New_to_Val_as_Val_fill","avgt",1,15,522.334271,144.417247,"ns/op",100
"kotlin_benchmarks.array.fill.Inline32int.New_to_Val_as_Val_fill","avgt",1,15,5041107.108478,1876254.232451,"ns/op",1000000
"kotlin_benchmarks.array.fill.Inline32int.Ref_to_Ref_as_Ref_arrayfillinst","avgt",1,15,149.754822,42.190197,"ns/op",100
